IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",25.6222662182387
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",26.021255127773
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",26.4323109634366
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",26.8567008405905
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",27.2938500299192
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",27.7408021541681
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",28.1949866777736
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",28.6528031215797
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",29.1114665183379
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",29.5690255992646
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",30.0226881123636
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",30.471444119968
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",30.9194682855721
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",31.3669873746466
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",31.8128873305284
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",32.2561694650033
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",32.6837431464571
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33.0916798941179
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33.5064642428284
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33.9418139340174
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.3820588468777
